No;Kabupaten_Kota;Kecamatan_Kapanewon;Tahun_Penduduk;Luas_km2;Jumlah_Penduduk_jiwa;Kepadatan_jiwa_km2;Tingkat_Kemiskinan_pct;TPT_pct;Status_Data;Kode_Join
1;Kota Yogyakarta;Mantrijeron;2025;2,68;33.8;12.633;;;Sebagian - penduduk & kepadatan;KOTA_YOGYAKARTA__MANTRIJERON
2;Kota Yogyakarta;Kraton;2025;1,37;18;13.101;;;Sebagian - penduduk & kepadatan;KOTA_YOGYAKARTA__KRATON
3;Kota Yogyakarta;Mergangsan;2025;2,30;28.9;12.561;;;Sebagian - penduduk & kepadatan;KOTA_YOGYAKARTA__MERGANGSAN
4;Kota Yogyakarta;Umbulharjo;2025;8,32;68.4;8.22;;;Sebagian - penduduk & kepadatan;KOTA_YOGYAKARTA__UMBULHARJO
5;Kota Yogyakarta;Kotagede;2025;2,99;33.6;11.253;;;Sebagian - penduduk & kepadatan;KOTA_YOGYAKARTA__KOTAGEDE
6;Kota Yogyakarta;Gondokusuman;2025;3,99;37.1;9.299;;;Sebagian - penduduk & kepadatan;KOTA_YOGYAKARTA__GONDOKUSUMAN
7;Kota Yogyakarta;Danurejan;2025;1,11;18.9;17.053;;;Sebagian - penduduk & kepadatan;KOTA_YOGYAKARTA__DANUREJAN
8;Kota Yogyakarta;Pakualaman;2025;0,65;9.2;14.204;;;Sebagian - penduduk & kepadatan;KOTA_YOGYAKARTA__PAKUALAMAN
9;Kota Yogyakarta;Gondomanan;2025;1,14;12.8;11.245;;;Sebagian - penduduk & kepadatan;KOTA_YOGYAKARTA__GONDOMANAN
10;Kota Yogyakarta;Ngampilan;2025;0,84;15.4;18.345;;;Sebagian - penduduk & kepadatan;KOTA_YOGYAKARTA__NGAMPILAN
11;Kota Yogyakarta;Wirobrajan;2025;1,77;24.8;14.028;;;Sebagian - penduduk & kepadatan;KOTA_YOGYAKARTA__WIROBRAJAN
12;Kota Yogyakarta;Gedongtengen;2025;0,99;16.6;16.798;;;Sebagian - penduduk & kepadatan;KOTA_YOGYAKARTA__GEDONGTENGEN
13;Kota Yogyakarta;Jetis;2025;1,72;23.5;13.646;;;Sebagian - penduduk & kepadatan;KOTA_YOGYAKARTA__JETIS
14;Kota Yogyakarta;Tegalrejo;2025;2,96;34.8;11.751;;;Sebagian - penduduk & kepadatan;KOTA_YOGYAKARTA__TEGALREJO
